epoch,lr,train_loss,train_velocity_loss,train_residual_loss,train_gate_mean,val_loss,val_velocity_loss,val_residual_loss,val_gate_mean
1,0.001,1.3001659784851403,1.073176609288002,1.1007447705186646,0.6840404061407879,0.9457512781644861,0.7603362626939391,0.8887758343480527,0.7659850478172302
2,0.001,1.1671616645722553,0.9665978926009146,0.9632754256499225,0.7908688161907524,0.9321417102590204,0.7593032625736669,0.8251091020181776,0.7816621363162994
3,0.001,1.0953641210136742,0.9132581150223469,0.8709420995979473,0.791758350771049,0.9238908377786478,0.7513611644196013,0.8243427341183026,0.7661113778750102
4,0.001,1.0449531587033436,0.8746206074439246,0.8132821069709186,0.7676127136781298,0.9494390993534277,0.7605702663218835,0.9054130710312165,0.7786195904016495
5,0.001,1.0233164201008862,0.8594794969620376,0.7807668945912657,0.7683545741541632,0.9025456117466092,0.7325224689440801,0.8129505865586301,0.7433010518550873
6,0.001,0.9831800620103704,0.8281776666127402,0.737466541857555,0.7509079924945173,0.8929964926404258,0.7243358375504613,0.8063217723742128,0.7396304448445638
7,0.001,0.955543531426068,0.8056485444821161,0.7128519364472093,0.7324598411033894,0.9350842191837728,0.7435685503606995,0.9204213278678556,0.743138728539149
8,0.001,0.9403071883937408,0.7946901480699408,0.6914503821011247,0.7326964001203405,0.899681240071853,0.7204228346818127,0.8581190510342519,0.7634589115778605
9,0.001,0.918672862494814,0.7783861381226572,0.6653693218169541,0.7212860722993982,0.9036812330130488,0.721013857651269,0.8769314189131061,0.7281094575921695
10,0.001,0.9008268680551956,0.764837194362591,0.6440767925874941,0.7174309060491365,0.8963841262351101,0.7151919696421828,0.8717563203535974,0.6840876489877701
11,0.001,0.8878875590603927,0.7574151244399876,0.6167380349903271,0.7124828737357567,0.9327388405644645,0.7299151582400858,0.9755903805916508,0.7705596661816041
12,0.001,0.8840666081884812,0.753465708473633,0.6172863658646057,0.7143624029282866,0.8786224510210255,0.7054705458482203,0.8305215267852569,0.7047617115080357
13,0.001,0.8762374073266983,0.7478975432700125,0.6064128295100969,0.7057296053088945,0.9007727323953684,0.7174703614359411,0.8819152865326032,0.6919316795654595
14,0.001,0.8623149623644764,0.7368135896415032,0.5923710554067431,0.7027161552988249,0.938945004188766,0.7308687828228965,1.008155621557186,0.6445091866422444
15,0.001,0.8566914835366709,0.7325287707920732,0.5857029331141504,0.7022123501218599,0.9397476932189117,0.7384434758001589,0.9710077119525522,0.7102671366184949
16,0.001,0.8872621290642639,0.7598963862863081,0.6010091866141763,0.7163906606106922,0.940837925610443,0.7377270959909462,0.9821392568914841,0.6682953241591653
17,0.001,0.8399299855889946,0.7215995416045189,0.5564072471240471,0.7048991882595522,0.9128391347980748,0.7220526036961625,0.9191547427636881,0.6955582064266006
18,0.0005,0.8278339976637528,0.7129865543724134,0.5391937897636973,0.7008686759348574,0.9093548608633379,0.7173058181535452,0.9246222502707193,0.7124584048986435
19,0.0005,0.8196917718340611,0.7073358541418766,0.5262945708015869,0.7097004323170103,0.9208116197492927,0.7248657375418891,0.9468636259747049,0.6573150762046377
20,0.0005,0.8087913237255195,0.6993237643920142,0.5121091023601335,0.7045734488758547,0.9696532970216746,0.7476222899626009,1.0759041498492783,0.6850161006053289
21,0.0005,0.8088507552085251,0.6987601747286731,0.5151992584096974,0.7050731726761522,0.9936027941526845,0.7630567193419362,1.1180863960490872,0.692880108890434
22,0.0005,0.796322111168812,0.691328494199391,0.4902036467502857,0.6952887932802069,0.9704847907181829,0.7499168299216156,1.0669193967866402,0.7184063798437516
23,0.0005,0.7929063007749361,0.6891608335848513,0.4840557833426985,0.6934311950001223,0.9626619953506936,0.7502534305638012,1.026785961072892,0.705137416223685
24,0.00025,0.7887980886574449,0.6863452725369354,0.4775038967872488,0.695203967135528,0.968799739323246,0.7495071071471708,1.062496910756454,0.6793238084763289
25,0.00025,0.7798776325994524,0.6802650059348551,0.463639877094277,0.6884648481319691,0.9951829075580463,0.7637850144179538,1.1229960056487471,0.6798679259916146
26,0.00025,0.7778883410681938,0.6776882186532021,0.4665034473713102,0.6899436147048555,0.9739026663514475,0.7531029998227798,1.069017842815568,0.6996093574911356
27,0.00025,0.7682322037631067,0.6727732032023627,0.44261086526615867,0.6936831479442531,1.0089779869498063,0.7693710175420468,1.1627749206343045,0.7051958304829895
